timestamp,altitude,groundspeed,track,CAS,weight,fuelflow,TAS,vertical_rate
2011-07-23 16:16:45+00:00,35996.0,472.0,233.349609375,251.75,61253.1145507813,0.6446049496120834,437.129833566043,-120.0
2011-07-23 16:16:50+00:00,35940.0,472.0,233.349609375,252.25,61253.1145507813,0.528182945421,437.5142771977443,-1680.0
2011-07-23 16:16:55+00:00,35828.0,473.0,233.349609375,253.5,61253.1145507813,0.34271412489150005,438.829296082451,-1680.0
2011-07-23 16:17:00+00:00,35674.0,473.0,233.349609375,254.0,61253.1145507813,0.20462049221463888,438.34786903614247,-2040.0
2011-07-23 16:17:05+00:00,35480.0,473.0,233.349609375,254.75,61234.9708557129,0.09979028930663889,438.12605706543445,-2400.0
2011-07-23 16:17:10+00:00,35274.0,473.0,233.26171875,255.75,61234.9708557129,0.1511974080403611,438.2068865462005,-2520.0
2011-07-23 16:17:15+00:00,35068.0,473.0,233.26171875,256.125,61234.9708557129,0.14061358947752778,437.3138430991784,-2520.0
2011-07-23 16:17:20+00:00,34858.0,472.0,233.26171875,256.5,61234.9708557129,0.14212556355794445,436.6873507096474,-2640.0
2011-07-23 16:17:25+00:00,34636.0,473.0,233.26171875,257.0,61234.9708557129,0.1446455203586111,437.0827656720135,-2640.0
2011-07-23 16:17:30+00:00,34414.0,473.0,233.26171875,259.375,61234.9708557129,0.14615749443902776,437.6676892003704,-2760.0
2011-07-23 16:17:35+00:00,34184.0,473.0,233.26171875,260.625,61234.9708557129,0.14766946851941667,437.9487459252227,-2760.0
2011-07-23 16:17:40+00:00,33958.0,473.0,233.349609375,263.625,61216.8271606445,0.14817345987955555,440.92272545586127,-2760.0
2011-07-23 16:17:45+00:00,33732.0,473.0,233.349609375,265.0,61216.8271606445,0.15018942532008334,441.4023978535898,-2760.0
2011-07-23 16:17:50+00:00,33510.0,473.0,233.349609375,266.5,61234.9708557129,0.1511974080403611,441.38773044602976,-2760.0
2011-07-23 16:17:55+00:00,33280.0,474.0,233.349609375,267.0,61216.8271606445,0.15270938212077778,441.2122611627272,-2760.0
2011-07-23 16:18:00+00:00,33048.0,474.0,233.349609375,268.0,61216.8271606445,0.15321337348091668,441.0714636744405,-2880.0
2011-07-23 16:18:05+00:00,32816.0,474.0,233.349609375,268.625,61216.8271606445,0.1567413130018333,440.6478120062585,-2640.0
2011-07-23 16:18:10+00:00,32604.0,473.0,233.349609375,270.625,61216.8271606445,0.1572453043619722,441.8583526241409,-2400.0
2011-07-23 16:18:15+00:00,32412.0,472.0,233.349609375,271.625,61216.8271606445,0.15875727844238888,441.9909479366944,-2280.0
2011-07-23 16:18:20+00:00,32238.0,471.0,233.26171875,273.25,61216.8271606445,0.1577492957221111,443.1750366884432,-2040.0
2011-07-23 16:18:25+00:00,32072.0,469.0,233.173828125,273.5,61198.6834655762,0.1597652611626389,442.9746283102311,-2040.0
2011-07-23 16:18:30+00:00,31900.0,467.0,233.173828125,274.5,61198.6834655762,0.16077324388291667,442.2007694048455,-2040.0
2011-07-23 16:18:35+00:00,31728.0,466.0,233.26171875,274.625,61216.8271606445,0.16228521796333334,441.6128992181692,-2040.0
2011-07-23 16:18:40+00:00,31554.0,464.0,233.26171875,274.25,61198.6834655762,0.16329320068358336,439.8409569382095,-2160.0
2011-07-23 16:18:45+00:00,31376.0,463.0,233.26171875,273.0,61198.6834655762,0.1643011834038611,436.7619974890028,-2160.0
2011-07-23 16:18:50+00:00,31196.0,462.0,233.26171875,273.375,61198.6834655762,0.1663171488443889,436.0622623825556,-2160.0
2011-07-23 16:18:55+00:00,31020.0,461.0,233.26171875,273.5,61198.6834655762,0.16732513156466666,435.02638088622194,-2160.0
